Variable,Valor
t_f[1],67.22027584751662
"x_fik[1,1,1]",0.0
"x_fik[1,1,2]",10.5
"x_fik[1,1,3]",26.345427118623405
"x_fik[1,1,4]",0.0
"x_fik[1,1,5]",107.80112210841756
"x_fik[1,1,6]",0.0
"x_fik[1,1,7]",0.0
"x_fik[1,2,1]",0.0
"x_fik[1,2,2]",9.9
"x_fik[1,2,3]",76.5
"x_fik[1,2,4]",55.28720930232558
"x_fik[1,2,5]",0.0
"x_fik[1,2,6]",0.0
"x_fik[1,2,7]",0.0
"x_fik[1,3,1]",0.0
"x_fik[1,3,2]",0.0
"x_fik[1,3,3]",51.5
"x_fik[1,3,4]",46.77215189873418
"x_fik[1,3,5]",0.0
"x_fik[1,3,6]",0.0
"x_fik[1,3,7]",11.485000000000007
"x_fik[1,4,1]",2.82
"x_fik[1,4,2]",2.5094077800699703
"x_fik[1,4,3]",0.38525113836028885
"x_fik[1,4,4]",0.0
"x_fik[1,4,5]",0.0
"x_fik[1,4,6]",0.0
"x_fik[1,4,7]",0.0
"x_fik[1,5,1]",0.0
"x_fik[1,5,2]",0.0
"x_fik[1,5,3]",2.564102564102564
"x_fik[1,5,4]",0.0
"x_fik[1,5,5]",0.0
"x_fik[1,5,6]",0.0
"x_fik[1,5,7]",0.0
"x_fik[1,6,1]",0.0
"x_fik[1,6,2]",1.2361466239318883
"x_fik[1,6,3]",0.0
"x_fik[1,6,4]",9.181777260635544
"x_fik[1,6,5]",0.0
"x_fik[1,6,6]",0.0
"x_fik[1,6,7]",0.0
"x_fik[1,7,1]",0.0
"x_fik[1,7,2]",0.0
"x_fik[1,7,3]",0.0
"x_fik[1,7,4]",0.0
"x_fik[1,7,5]",55.0
"x_fik[1,7,6]",0.0
"x_fik[1,7,7]",0.0
"y_fik[1,1,1]",0.0
"y_fik[1,1,2]",1.0
"y_fik[1,1,3]",1.0
"y_fik[1,1,4]",0.0
"y_fik[1,1,5]",1.0
"y_fik[1,1,6]",0.0
"y_fik[1,1,7]",0.0
"y_fik[1,2,1]",0.0
"y_fik[1,2,2]",1.0
"y_fik[1,2,3]",1.0
"y_fik[1,2,4]",1.0
"y_fik[1,2,5]",0.0
"y_fik[1,2,6]",0.0
"y_fik[1,2,7]",0.0
"y_fik[1,3,1]",0.0
"y_fik[1,3,2]",0.0
"y_fik[1,3,3]",1.0
"y_fik[1,3,4]",1.0
"y_fik[1,3,5]",0.0
"y_fik[1,3,6]",0.0
"y_fik[1,3,7]",1.0
"y_fik[1,4,1]",1.0
"y_fik[1,4,2]",1.0
"y_fik[1,4,3]",1.0
"y_fik[1,4,4]",0.0
"y_fik[1,4,5]",0.0
"y_fik[1,4,6]",0.0
"y_fik[1,4,7]",0.0
"y_fik[1,5,1]",0.0
"y_fik[1,5,2]",0.0
"y_fik[1,5,3]",1.0
"y_fik[1,5,4]",0.0
"y_fik[1,5,5]",0.0
"y_fik[1,5,6]",0.0
"y_fik[1,5,7]",0.0
"y_fik[1,6,1]",0.0
"y_fik[1,6,2]",1.0
"y_fik[1,6,3]",0.0
"y_fik[1,6,4]",1.0
"y_fik[1,6,5]",0.0
"y_fik[1,6,6]",0.0
"y_fik[1,6,7]",0.0
"y_fik[1,7,1]",0.0
