El proyecto tiene un costo de 156018891.3719821 $CLP
Tabla R2
  Vivienda    Material-Variante    Cantidad Utilizada
----------  -------------------  --------------------
         1                    1                125
         1                    2                108
         1                    3                 85
         1                    4                  3.5
         1                    5                  2
         1                    6                  9
         1                    7                 55
         2                    1                130
         2                    2                110
         2                    3                 90
         2                    4                  4.55
         2                    5                  2.6
         2                    6                 10
         2                    7                 71.5
         3                    1                150
         3                    2                122
         3                    3                105
         3                    4                  6.8
         3                    5                  3.2
         3                    6                 10
         3                    7                 88
         4                    1                132
         4                    2                112
         4                    3                 87
         4                    4                  4
         4                    5                  2.5
         4                    6                 10
         4                    7                 56.5
         5                    1                137
         5                    2                119
         5                    3                 93
         5                    4                  5.2
         5                    5                  3.25
         5                    6                 11
         5                    7                 73.45
         6                    1                155
         6                    2                131
         6                    3                109
         6                    4                  6.4
         6                    5                  4
         6                    6                 11
         6                    7                 90.4
         7                    1                145
         7                    2                129
         7                    3                 95
         7                    4                  5
         7                    5                  3.5
         7                    6                 13
         7                    7                 60
         8                    1                159
         8                    2                140
         8                    3                101
         8                    4                  6.5
         8                    5                  4.55
         8                    6                 14
         8                    7                 78
         9                    1                170
         9                    2                156
         9                    3                115
         9                    4                  8
         9                    5                  5.6
         9                    6                 14
         9                    7                 96

Tabla R3
  Vivienda    Material    Variante    Cantidad Utilizada
----------  ----------  ----------  --------------------
         1           1           4            79.4521
         1           1           5            64.0222
         1           2           7           108
         1           3           7            85
         1           4           6             3.68421
         1           5           3             2.5641
         1           6           3            10.4651
         1           7           4            61.1111
         2           1           5           142.857
         2           2           7           110
         2           3           7            90
         2           4           6             4.78947
         2           5           3             3.33333
         2           6           3            10.8411
         2           6           4             0.760315
         2           7           4            79.4444
         3           1           5           148.016
         3           1           6            15.3052
         3           2           7           122
         3           3           7           105
         3           4           6             7.15789
         3           5           3             3.73608
         3           5           4             0.28586
         3           6           4            11.236
         3           7           4            97.7778
         4           1           5           145.055
         4           2           6           112
         4           3           6            29.9028
         4           3           7            57.0972
         4           4           5             4.34783
         4           5           3             3.20513
         4           6           3            11.6279
         4           7           4            62.7778
         5           1           5           150.549
         5           2           6           119
         5           3           6            93
         5           4           5             3.28384
         5           4           6             2.29355
         5           5           2             4.06404
         5           5           3             0.571558
         5           6           4            12.3596
         5           7           4            17.3084
         5           7           5            57.8724
         6           1           6           155
         6           2           6            85.409
         6           2           7            45.591
         6           3           6           109
         6           4           6             0.0518737
         6           4           7             6.35072
         6           5           2             3.39515
         6           5           3             2.1248
         6           6           4            12.3596
         6           7           5            90.4
         7           1           6           145
         7           2           5            21.0787
         7           2           6           108.554
         7           3           6            95
         7           4           7             5
         7           5           4             3.5
